"numero","genero","dia1","dia2","dia3"
4410,"Mujer",1.05,0.11,NA
4419,"Mujer",1.38,NA,NA
4428,"Mujer",1.93,2.42,NA
4430,"Mujer",2.73,NA,NA
4435,"Mujer",2.02,NA,NA
4436,"Mujer",2.81,NA,NA
4437,"Mujer",2.47,NA,NA
4439,"Hombre",1.35,NA,NA
4440,"Hombre",2.08,NA,NA
4441,"Mujer",2.5,NA,NA
4442,"Mujer",2.45,NA,NA
4443,"Mujer",2.17,NA,NA
4444,"Hombre",1.7,0,NA
4445,"Hombre",0.7,0.23,0.45
4446,"Hombre",1.51,NA,NA
4447,"Mujer",1.23,NA,NA
4448,"Mujer",2.14,0.85,NA
4452,"Hombre",1.14,1.14,NA
4453,"Mujer",0.96,NA,NA
4454,"Hombre",1.52,1.14,1.26
4455,"Hombre",0.52,NA,NA
4456,"Hombre",1.56,NA,NA
4459,"Mujer",3.29,0.26,NA
4464,"Hombre",0.45,NA,NA
4467,"Mujer",2.63,NA,NA
4468,"Mujer",1.7,NA,NA
4470,"Hombre",3.11,NA,NA
4479,"Mujer",1.82,NA,NA
4481,"Mujer",1.58,0.14,NA
4482,"Mujer",2.73,NA,NA
4485,"Mujer",1.5,1.14,NA
4486,"Hombre",1.78,1.02,NA
4488,"Mujer",2.02,NA,NA
4507,"Hombre",0.67,0.94,0.91
4509,"Mujer",1.41,0.55,NA
4510,"Hombre",0.9,NA,NA
4511,"Mujer",1.23,1.11,0.76
4512,"Mujer",2.7,NA,NA
4514,"Mujer",1.97,NA,NA
4515,"Hombre",0.84,NA,NA
4516,"Hombre",1.79,NA,NA
4517,"Mujer",2.84,NA,NA
4518,"Hombre",2.02,NA,NA
4519,"Hombre",1.64,0.7,NA
4525,"Mujer",1.08,NA,NA
4533,"Mujer",2.97,NA,NA
4552,"Mujer",0.94,NA,NA
4553,"Mujer",2.97,1.94,NA
4554,"Mujer",0.97,NA,NA
4555,"Hombre",1.47,NA,NA
4559,"Mujer",2.61,NA,NA
4563,"Mujer",1.73,0.2,0.91
4564,"Mujer",3.38,3.44,3.41
4569,"Hombre",3.17,1,1.73
4570,"Mujer",2.2,0.91,NA
4571,"Mujer",2.14,NA,NA
4582,"Hombre",1.29,1.58,0.81
4590,"Mujer",3.21,2.85,NA
4597,"Hombre",2.67,NA,NA
4598,"Hombre",1.85,0.79,NA
4601,"Mujer",1.35,NA,NA
4607,"Mujer",2.14,0.76,NA
4611,"Hombre",1.24,0.56,NA
4654,"Mujer",2.02,1.78,2.55
4655,"Mujer",2.32,NA,NA
4663,"Hombre",1.08,0.23,NA
4666,"Hombre",1.14,1.35,1.02
4690,"Mujer",2.14,1.82,NA
4692,"Mujer",2.88,NA,NA
4693,"Hombre",1.35,0.17,0.44
4694,"Hombre",1,1.7,NA
4695,"Hombre",2.02,NA,NA
4696,"Mujer",0.64,1.32,NA
4697,"Hombre",0.29,0.14,NA
4698,"Mujer",1.73,0.94,NA
4699,"Mujer",1.82,1.52,NA
4704,"Mujer",2.11,NA,NA
4710,"Mujer",1.23,NA,NA
4711,"Hombre",0.64,NA,NA
4724,"Hombre",2.23,1.41,2.11
4725,"Mujer",2.44,0.32,NA
4740,"Hombre",1.17,0.58,NA
4744,"Mujer",0.61,0.44,NA
4749,"Mujer",0.52,NA,NA
4756,"Mujer",2.91,0.94,NA
4758,"Mujer",2.61,1.44,NA
4759,"Mujer",1.47,NA,NA
4760,"Hombre",1.28,NA,NA
4765,"Mujer",1.26,NA,NA
